Keyword,Market,EstMonthlyVolume,CompetitionLevel,Difficulty,OpportunityScore,Category,Intent,Rationale
Giant Bubbles Rotorua,NZ,50,Very Low,10,14.0,local,commercial,Major tourist destination with family events; no local page exists. Zero competition.
Giant Bubbles New Plymouth,NZ,40,Very Low,10,13.5,local,commercial,Taranaki city with strong family activity market; untapped local SEO.
Giant Bubbles Nelson,NZ,50,Very Low,10,13.5,local,commercial,Popular family destination; no content targeting this city. Easy win.
Giant Bubbles Palmerston North,NZ,40,Very Low,10,13.0,local,commercial,Manawatu hub with no giant bubble content. Low competition.
Bubble Entertainer Wellington,NZ,60,Very Low,10,13.5,b2b,commercial,Welly has active events scene. No bubble entertainer content exists yet.
Bubble Show Wellington,NZ,50,Very Low,10,13.0,local,informational,Wellington event scene; content gap for bubble shows.
Bubble Show Christchurch,NZ,50,Very Low,10,13.0,local,informational,Christchurch events/entertainment market underserved for bubble content.
Bubble Entertainer Hamilton,NZ,40,Very Low,10,12.5,b2b,commercial,Waikato's largest city with no bubble entertainer page.
Easter Basket Ideas NZ,NZ,320,Medium,30,8.5,seasonal,commercial,Seasonal high-volume term. Tinka bubble kits are perfect Easter basket fillers. Seasonal peak ~Mar-Apr.
Easter Gifts for Kids NZ,NZ,210,Low,25,8.0,seasonal,commercial,Easter gift season. Tinka bubble kits as unique non-chocolate alternative. Seasonal peak ~Mar-Apr.
Rainy Day Activities for Kids NZ,NZ,390,Medium,35,7.5,kids,informational,High-volume evergreen parent search. Bubbles as indoor/outdoor rainy day activity angle.
Screen Free Activities for Kids NZ,NZ,260,Low,25,8.0,kids,informational,Growing trend for screen-free play. Perfect alignment with outdoor bubble play.
Bubble Painting for Kids,NZ,210,Low,20,8.5,content,informational,Popular kids craft activity. Blog post with product tie-in for bubble concentrate as art material.
Bubble Art for Kids,NZ,170,Low,20,8.0,content,informational,Related craft activity term. High Pinterest and social media sharing potential.
How to Make Bubble Wands,NZ,320,Medium,30,7.5,content,informational,Broad DIY content topic. Lead with DIY wands → soft sell to Tinka wands.
Giant Bubbles Hobart,AU,60,Very Low,10,14.0,local,commercial,Tasmania capital with growing tourism. No local bubble content. Untapped.
Giant Bubbles Sunshine Coast,AU,80,Very Low,15,13.5,local,commercial,Major QLD population centre. No existing content targeting this region.
Giant Bubbles Cairns,AU,70,Very Low,15,13.5,local,commercial,Tropical QLD tourist destination — family activities, events. Gap exists.
Giant Bubbles Newcastle,AU,80,Low,15,13.0,local,commercial,NSW regional city with family market. Untapped local keyword.
Giant Bubbles Darwin,AU,50,Very Low,10,14.0,local,commercial,NT capital with family entertainment demand. No competition for this term.
Giant Bubbles Wollongong,AU,50,Very Low,10,13.5,local,commercial,Illawarra region hub. Could serve South Coast NSW too.
How to Make Giant Bubbles with Glycerin,AU,170,Low,20,8.5,content,informational,Specific ingredient query. Content can position Tinka concentrate vs glycerin-based DIY.
Bubble Activities for Toddlers NZ,NZ,140,Low,20,8.0,kids,informational,Parent search for toddler activities. Bubbles = low-prep outdoor sensory play. Safe, simple.
Giant Bubble Solution Shelf Life,AU,50,Very Low,10,9.0,content,informational,Very specific long-tail query with zero competition. Blog post. Easy win.
Bubble Experiment for Kids,AU,260,Low,25,8.0,kids,informational,School holiday / classroom activity search. Tinka concentrate as science experiment material.
Easter Basket Ideas Australia,AU,480,Medium,35,7.5,seasonal,commercial,High seasonal volume. Giant bubble kits as unique basket filler. Seasonal peak Mar-Apr.
Outdoor Activities for Kids Australia,AU,480,Medium,40,7.0,kids,informational,Broad high-volume term. Giant bubbles as anchor activity recommendation.
Experience Gifts for Kids NZ,NZ,170,Low,20,8.0,seasonal,commercial,Growing trend for experience over stuff. Tinka kit = experience gift. Good for Christmas/birthday.
Bubble Photography Tips,NZ,90,Very Low,15,8.5,content,informational,Photography niche content. Links to People in a Bubble Wand product. Visual/shareable.
Giant Bubbles Hastings,NZ,40,Very Low,10,13.0,local,commercial,Hawke's Bay city with family events market. No local content exists.
