keyword,market,volume,opportunity,difficulty,blog_topic,id
Giant Bubbles Keep Popping,AU,90,10,15,Troubleshooting Guide,1
Giant Bubble Instructions AU,AU,110,10,15,Troubleshooting Guide,1
How to Clean Up Giant Bubbles,NZ,90,8,10,Troubleshooting Guide,1
Giant Bubbles in Winter,NZ,70,7,10,Weather Conditions Guide,2
Bubble Performer Sydney,AU,90,12,15,Bubble Shows & Performers,3
Bubble Performer Auckland,NZ,70,12,15,Bubble Shows & Performers,3
Bubble Festival Brisbane,AU,90,12,15,Bubble Shows & Performers,3
Backyard Bubble Party Ideas,NZ,170,8,20,Party Games & Activities,4
Kids Birthday Party Auckland,NZ,390,7,45,Party Games & Activities,4
How Do Giant Bubbles Work,NZ,170,8,20,Science of Bubbles,5
Surface Tension Bubble Experiment Kids,NZ,140,8,15,Science of Bubbles,5
Bubble Science Experiments for Kids,AU,260,8,50,Science of Bubbles,5
Tinka Giant Bubbles,NZ,210,9,10,Tinka Product Guide,6
Tinka Giant Bubble Review,NZ,90,8,10,Tinka Product Guide,6
Best Giant Bubble Product,NZ,320,8,40,Tinka Product Guide,6
Giant Bubble Wand NZ,NZ,210,8,35,Tinka Product Guide,6
Giant Bubble Fundraiser,NZ,70,8,10,Fundraising with Bubbles,7
School Fair Bubble Stall,NZ,50,8,5,Fundraising with Bubbles,7
Marquee Event Bubbles,AU,40,8,5,Fundraising with Bubbles,7
Screen Free Summer Activities NZ,NZ,260,8,50,Bubble Mindfulness,8
Best Bubbles for Toddlers NZ,NZ,170,8,50,Bubble Mindfulness,8
Pet Friendly Bubble Solution Australia,AU,50,8,5,Pet-Friendly Bubbles,9
Bee Safe Bubble Solution,NZ,70,8,10,Pet-Friendly Bubbles,9
Easter Gifts for Kids NZ,NZ,210,8,25,Gift Guide,10
Giant Bubble Birthday Gift,NZ,110,8,15,Gift Guide,10
Unique Gift for Kids Who Love Outdoors NZ,NZ,90,8,10,Gift Guide,10
Waitangi Day Family Activities NZ,NZ,140,8,50,Waitangi & Matariki,11
Giant Bubble World Record,NZ,140,7,15,World Records & Fun Facts,12
Giant Bubble Making Competition,NZ,50,7,5,World Records & Fun Facts,12
Giant Bubble Video Tutorial,NZ,210,8,20,World Records & Fun Facts,12
Wholesale Bubble Solution Australia,AU,90,8,20,Bulk Buying Guide,14
Bulk Bubble Concentrate Australia,AU,70,8,20,Bulk Buying Guide,14
Wholesale Bubbles NZ,NZ,70,8,15,Bulk Buying Guide,14
Giant Bubble Solution Refill Australia,AU,170,8,20,Bulk Buying Guide,14
Giant Bubble Solution Refill NZ,NZ,140,9,15,Bulk Buying Guide,14
Summer Holiday Fun for Kids NZ,NZ,320,7,50,Screen-Free Summer,15
Family Outdoor Activities NZ,NZ,260,8,30,Screen-Free Summer,15
