title,target_keyword,priority,status,date_added,effort,description
"DIY Giant Bubble Wand: Build Your Own for Under $10",giant bubble wand,5,draft,2026-05-15,low,"Step-by-step guide to building a DIY bubble wand from common household materials"
"How to Organize a Bubble-Themed Birthday Party",birthday party bubbles,6,draft,2026-05-15,medium,"Complete party planning guide with bubble-themed activities, decorations, and cake ideas"
"The Science of Giant Bubbles: Why They Pop & How to Keep Them Bigger",how to make giant bubbles,5,backlog,2026-05-10,medium,"Educational article explaining surface tension, evaporation, and the perfect bubble recipe"
"Giant Bubbles vs Bubble Machines: Which Is Better for Your Event?",giant bubble kit,5,backlog,2026-05-10,medium,"Comparison guide helping event planners choose between manual bubbles and machines"
"Best Outdoor Games for Kids Ages 3-10: Complete List",outdoor party entertainment,6,draft,2026-05-12,low,"Comprehensive list of outdoor games ranked by age group, space requirements, and fun factor"
"Giant Bubble Photography Tips: Capture the Perfect Bubble Shot",giant bubble kit,4,backlog,2026-05-08,low,"Photography guide for parents and event photographers wanting bubble photos"
"How Much Does a Bubble Entertainer Cost in Auckland?",bubble entertainer auckland,5,backlog,2026-05-12,low,"Pricing guide for hiring bubble entertainers in the Auckland region"
"Auckland Kids Parties: The Ultimate Planning Guide",kids party entertainment auckland,6,draft,2026-05-14,medium,"Comprehensive guide to planning kids parties in Auckland covering venues, entertainment, and food"
"Giant Bubbles for School Events: Ideas for Fairs & Fundraisers",giant bubbles for kids,5,backlog,2026-05-10,medium,"Ideas for incorporating giant bubbles into school events, fundraising fairs, and sports days"
"The Complete Guide to Outdoor Kids' Parties in Auckland",outdoor party hire auckland,5,backlog,2026-05-12,medium,"Everything parents need to know about hiring outdoor party spaces in Auckland"
"Best Party Entertainers in Auckland for 2026",party entertainment auckland,4,backlog,2026-05-08,medium,"Curated list of the best children's party entertainers in Auckland with reviews and pricing"
"Giant Bubble Recipe Without Glycerin: 3 Easy Alternatives",bubble solution recipe,5,draft,2026-05-14,low,"Alternative bubble recipes using corn syrup, dish soap, and other household ingredients"
"Children's Birthday Party Trends Australia 2026",birthday party bubbles,4,backlog,2026-05-10,medium,"Trend report covering popular themes, activities, and entertainment for kids parties in 2026"
"How to Price Your Bubble Entertainment Business",bubble entertainer auckland,4,backlog,2026-05-06,low,"Business pricing guide for bubble entertainers covering hourly rates, packages, and add-ons"
"SEO for Event Businesses: How to Rank for Local Search",party entertainment auckland,4,backlog,2026-05-06,medium,"SEO guide specifically for event and entertainment businesses targeting local search"
"Case Study: How a Bubble Business Grew Traffic by 300%",giant bubbles nz,4,backlog,2026-05-04,medium,"Real case study showing how content marketing and local SEO transformed a bubble business"
"Giant Bubbles for Weddings: Creative Ideas for Photographers",giant bubbles nz,4,backlog,2026-05-06,low,"Creative guide for wedding photographers using giant bubbles as props and backdrop elements"
"The Ultimate Guide to Children's Party Entertainment in NZ",children's party entertainment,5,draft,2026-05-14,medium,"Comprehensive guide covering all types of children's party entertainment available in New Zealand"
"10 Ways to Make Your School Holiday Program Stand Out",school holiday activities auckland,5,backlog,2026-05-10,medium,"Tips for parents and activity providers to create memorable school holiday experiences"
"Giant Bubbles for Corporate Events: Team Building Ideas",giant bubbles nz,3,backlog,2026-05-02,medium,"Corporate team building activities using giant bubbles for icebreakers and group fun"
