title,target_keyword,category,estimated_searches,opportunity_score,effort,content_type,source,status
"How to Make Giant Bubbles With Pool Noodles: Easy DIY Guide","How To Make Giant Bubbles","How-To",720,8.5,easy,blog,manual,draft
"The Ultimate Giant Bubble Solution Recipe (Tested & Proven)","Bubble Solution Recipe","How-To",590,8,easy,blog,manual,draft
"Best Giant Bubble Kit 2026: Buyer's Guide for Parents","Giant Bubble Kit","Product Comparison",590,9,medium,blog,manual,draft
"10 Mind-Blowing Birthday Party Bubble Ideas for Kids","Birthday Party Bubbles","Party Planning",390,8.5,easy,blog,manual,draft
"How to Throw the Perfect Giant Bubble Party in Auckland","Party Entertainment Auckland","Local",110,8.5,medium,blog,manual,draft
"Giant Bubbles for Kids: The Ultimate Parent's Activity Guide","Giant Bubbles For Kids","Kids Activities",390,8,easy,blog,manual,draft
"Magical Giant Bubble Wedding Ideas (With Photos)","Giant Bubble Wedding","Party Planning",210,7.5,medium,blog,manual,draft
"Where to Buy a Bubble Wand in Australia: 2026 Guide","Warehouse Bubble Wand","Product Comparison",170,7.5,easy,blog,manual,draft
"Giant Bubble Wand vs Regular Wand: Which is Best for Kids?","Best Bubble Solution","Product Comparison",320,8,medium,blog,manual,draft
"50 Fun Outdoor Activities for Kids This Summer (Australia)","Outdoor Toys Australia","Kids Activities",480,7,easy,blog,manual,draft
"Giant Bubbles for Corporate Events: Complete Planning Guide","Giant Bubbles For Events","B2B",110,8,medium,blog,manual,draft
"Hiring a Bubble Entertainer: Complete Guide for Events","Bubble Entertainer","Local",90,8,medium,blog,manual,draft
"Giant Bubble Concentrate vs Ready-Made Solution (Which Wins?)","Giant Bubble Concentrate","Product Comparison",140,7,medium,blog,manual,draft
"Why Dogs Absolutely LOVE Giant Bubbles (Vet-Approved Guide)","Giant Bubbles For Dogs","Kids Activities",140,6.5,easy,blog,manual,draft
"Seasonal Marketing: Giant Bubbles for Summer Holidays & Events","Party Bubbles Auckland","Seasonal",170,8,easy,blog,manual,draft
"Bulk Buying Wholesale Giant Bubbles: Retailer's Complete Guide","Wholesale Giant Bubbles","B2B",110,8.5,medium,blog,manual,draft
"Giant Bubbles NZ vs AU: Market Differences & Strategy Guide","Giant Bubbles NZ","Brand",260,7.5,medium,blog,manual,draft
"Best Bubble Solution NZ: Dawn vs Fairy vs Homemade Tested","Bubble Solution NZ","Product Comparison",90,7.5,easy,blog,manual,draft
"Auckland's Best Bubble Fun Spots: Local's Guide 2026","Bubble Entertainer Auckland","Local",140,8.5,medium,blog,manual,draft
"Giant Bubbles for Schools: Educational Activity Guide","Giant Bubbles For Kids","Kids Activities",390,7.5,medium,blog,manual,draft
"How to Start a Giant Bubble Entertainment Business","Bubble Entertainer","B2B",90,7,hard,blog,manual,draft
"Giant Bubble Photography: Tips for Stunning Bubble Photos","Giant Bubble Wedding","Content",210,7,easy,blog,manual,draft
